Event_id,cause_of_death,CartoDB_Cause_of_death,dataset,date,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,latlong,Somme Dedoublement,name,route,source,source_url
34493,drowned,drowning or exhaustion related death,United,2008-06-11T00:00:00Z,2Q2008,2008 -- 6,2008,0,0,1,"drowned, dinghy sank trying to cross the sea between TR and Samos Island (GR) (Jun 11, 2008)",samos,37.743215,26.820351,"37.743215, 26.820351",218,"Event at Samos on Jun 11, 2008",Eastern Mediteranean route Sea,EarthT/PICUM/NOB,
34494,drowned,drowning or exhaustion related death,United,2008-06-11T00:00:00Z,2Q2008,2008 -- 6,2008,0,0,4,"drowned after dinghy sank off Ayvalik (TR), bodies were pulled from the water, 23 survivors (Jun 11, 2008)",ayvalik,39.33589,26.71281,"39.33589, 26.71281",24,"Event at Ayvalik on Jun 11, 2008",Eastern Mediteranean route Sea,KI/FE/PICUM/NOB,
34492,shot,malicious intent related death / manslaughter,Del grande,2008-06-11T00:00:00Z,2Q2008,2008 -- 6,2008,0,0,1,"A Somali citizen, named Adam Terry, dies killed by a shot of a firearm during a protest erupted in KIrklareli detention camp near the border with Bulgaria and Greece (Jun 12, 2008)",kirklareli,41.733333,27.216667,"41.733333, 27.216667",2,"Event at Kirklareli on Jun 11, 2008",Eastern Mediteranean route Land,Anatolie,http://www.romandie.com/infos/news2/080612135316.m9lks2kc.asp
34496,drowned,drowning or exhaustion related death,Del grande,2008-06-10T00:00:00Z,2Q2008,2008 -- 6,2008,0,0,51,"Shipwreck off the coast of Egypt, on its way to Greece. Needless to the alarm of one of the passengers, Mohammed Hassan Al-Shaikh. 51 people drown (Jun 11, 2008)",egypt,26.820553,30.802498,"26.820553, 30.802498",427,"Event at Egypt on Jun 10, 2008",,Al-Masry Al-Yawm,http://docs.google.com/viewer?url=http://fortresseurope.googlegroups.com/web/RAPPORTO+EGITTO.doc?hl=it&gda=O--8QEUAAAA6xOJURI9ZxmuVTIzrKY9J_Zx6o1h2tKyLtBcVaK1ONLQTHst6Yf70JwK7A7mmMStbNl8wi2yIucJk5oIH-yH0Gu1iLHeqhw4ZZRj3RjJ_-A&gsc=a0gpAwsAAAD3Bhi2pdY5Nle2vhiJN4Vh
34495,unknown,unknown - supposedly exhaustion related death,Del grande,2008-06-10T00:00:00Z,2Q2008,2008 -- 6,2008,0,0,1,"A body recovered from the Italian Coast Guard patrol boat Fiorillo 54 miles south of the island (Jun 11, 2008)",malta,35.937496,14.375416,"35.937496, 14.375416",655,"Event at Malta on Jun 10, 2008",Central Mediteranean route,Ansa,http://www.stranieriinitalia.it/ansa-immigrazione_recuperato_cadavere_al_largo_di_malta_4336.html
34497,car accident,"violent accidental death (transport, blown in minefield...)",Del grande,2008-06-09T00:00:00Z,2Q2008,2008 -- 6,2008,0,0,2,"Is reversed in an accident in Dogubayazit, in eastern Turkey, a truckload of migrants. 2 dead (Jun 10, 2008)",dogubayazit,39.54864,44.074207,"39.54864, 44.074207",13,"Event at Dogubayazit on Jun 09, 2008",,Haber,http://haber.turk.net/haber_detay.asp?ID=2048979&cat=ENG
34498,drowned,drowning or exhaustion related death,United,2008-06-09T00:00:00Z,2Q2008,2008 -- 6,2008,0,0,2,"drowned, found between Evros River delta and Alexandroupolis port (GR) by fishing boat (Jun 9, 2008)",evros,41.244376,26.135943,"41.244376, 26.135943",188,"Event at Evros on Jun 09, 2008",Eastern Mediteranean route Land,NOB/KI,
34499,car accident,"violent accidental death (transport, blown in minefield...)",United,2008-06-08T00:00:00Z,2Q2008,2008 -- 6,2008,0,0,1,"killed by car bomb in Kirkuk (Iraq) 2 weeks after voluntary repatriation from GB (Jun 8, 2008)",kirkuk,35.46883,44.39098,"35.46883, 44.39098",2,"Event at Kirkuk on Jun 08, 2008",,IRR,
34350,burned or asphyxiated due to arson attack,malicious intent related death / manslaughter,United,2008-06-06T05:00:00Z,2Q2008,2008 -- 6,2008,0,0,1,"jumped out of window when asylum-seeker centre set on fire in Klangenfurt, Carinthia (A) (Dec 5, 2008)","Klangenfurt, austria",46.62794,14.30899,"46.62794, 14.30899",1,"Event at Klangenfurt, Austria on Dec 05, 2008",Western Balkan route,Falter,
34501,unknown,unknown - supposedly exhaustion related death,Del grande,2008-06-06T00:00:00Z,2Q2008,2008 -- 6,2008,0,0,100,"Shipwreck off Zuwarah. Recovered 40 bodies. At least 100 missing. Only one survivor (Jun 7, 2008)",Zuwarah,32.933333,12.083333,"32.933333, 12.083333",100,"Event at Zuwarah on Jun 06, 2008",Central Mediteranean route,Repubblica,http://www.repubblica.it/2008/02/sezioni/cronaca/sbarchi-immigrati/nuovi-sbarchi/nuovi-sbarchi.html
34500,unknown,unknown - supposedly exhaustion related death,Del grande,2008-06-06T00:00:00Z,2Q2008,2008 -- 6,2008,0,0,1,"Recovered a second body on the island of Linosa. Another body was fished out two miles south of Lampedusa (Jun 7, 2008)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",3843,"Event at Lampedusa on Jun 06, 2008",Central Mediteranean route,Ansa,http://www.ansa.it/
34502,unknown,unknown - supposedly exhaustion related death,Del grande,2008-06-05T00:00:00Z,2Q2008,2008 -- 6,2008,13,0,13,"Shipwreck off the coast of Libya. Recovered 13 bodies. Three of the bodies are in an advanced state of decomposition and may therefore belong to a second shipwreck, but for which you do not have any news (Jun 6, 2008)",libya,26.3351,17.228331,"26.3351, 17.228331",1371,"Event at Libya on Jun 05, 2008",,Repubblica,http://www.repubblica.it/2008/06/sezioni/cronaca/naufragio-6giu/naufragio-6giu/naufragio-6giu.html
34503,unknown,unknown - supposedly exhaustion related death,Del grande,2008-06-05T00:00:00Z,2Q2008,2008 -- 6,2008,0,0,1,"Discovered a dead body on the rocks of Linosa, the smallest of the Pelagie Islands (Jun 6, 2008)",linosa,35.866074,12.868741,"35.866074, 12.868741",5,"Event at Linosa on Jun 05, 2008",Central Mediteranean route,Ansa,http://www.ansa.it/
34504,drowned,drowning or exhaustion related death,United,2008-06-03T00:00:00Z,2Q2008,2008 -- 6,2008,0,0,16,"drowned, 13 found, 3 missing, vessel sunk after leaving from Mers el Hedjadj beach (DZ)  (Jun 3, 2008)","Mers el Hedjadj, algeria",35.208889,0.479722,"35.208889, 0.479722",16,"Event at Mers El Hedjadj, Algeria on Jun 03, 2008",Western Mediteranean route,MNS/Picum/FE,
34506,unknown,unknown - supposedly exhaustion related death,Del grande,2008-06-01T00:00:00Z,2Q2008,2008 -- 6,2008,0,0,1,"Fished out the body of a woman 36 miles southwest of Agrigento. This is the eighth lifeless body was found in the last three days between Agrigento and Lampedusa (Jun 2, 2008)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",3843,"Event at Lampedusa on Jun 01, 2008",Central Mediteranean route,Ansa,http://www.ansa.it/
34505,unknown,unknown - supposedly exhaustion related death,Del grande,2008-06-01T00:00:00Z,2Q2008,2008 -- 6,2008,0,0,1,"Found the lifeless body of a woman on the beach of Cala Maluk, in Lampedusa (Jun 2, 2008)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",3843,"Event at Lampedusa on Jun 01, 2008",Central Mediteranean route,Adnkronos,http://www.adnkronos.com/IGN/Cronaca/?id=1.0.2218210842
34508,run over by a bus,"violent accidental death (transport, blown in minefield...)",United,2008-06-01T00:00:00Z,2Q2008,2008 -- 6,2008,0,0,1,"stowaway, hanging on underside of touristic bus was crushed from bus  weels in Spain (Jun 1, 2008)",spain,40.463667,-3.74922,"40.463667, -3.74922",6,"Event at Spain on Jun 01, 2008",Western Mediteranean route,AP/MUGAK/SUR,
34507,lack of medical care,drowning or exhaustion related death,United,2008-06-01T00:00:00Z,2Q2008,2008 -- 6,2008,0,0,1,"died in hospital of heart condition as social workers attempted to clarify immigration status (Jun 1, 2008)",Great Britain,55.378051,-3.435973,"55.378051, -3.435973",23,"Event at Great Britain on Jun 01, 2008",,IRR,
34509,unknown,unknown - supposedly exhaustion related death,Del grande,2008-05-31T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"A corpse fished out 300 meters from Punta Sottile, in Lampedusa. The lifeless body of another castaway, in an advanced state of decomposition, was located 14 miles from the coast, while in the late evening of Friday, another body was recovered off the coast of Lampedusa (Jun 1, 2008)",punta,28.569022,-16.324539,"28.569022, -16.324539",53,"Event at Punta on May 31, 2008",Western African route,Adnkronos,http://www.adnkronos.com/IGN/Cronaca/?id=1.0.2216752396
34510,unknown,unknown - supposedly exhaustion related death,Del grande,2008-05-30T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"A corpse recovered a mile east of Lampedusa, after reporting to a boater (May 31, 2008)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",3843,"Event at Lampedusa on May 30, 2008",Central Mediteranean route,Ansa,http://www.agenziami.it/ultime/3762/Immigrazione+cadavere+recuperato+im+mare/
34511,unknown,unknown - supposedly exhaustion related death,Del grande,2008-05-28T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"The body of a man, in an advanced state of decomposition, was found in Castelvetrano (Trapani) on the beach of the nature reserve at the mouth of the river Belice (May 29, 2008)",trapani,38.017618,12.537202,"38.017618, 12.537202",5,"Event at Trapani on May 28, 2008",Central Mediteranean route,Ansa,http://www.siciliainformazioni.com/giornale/cronaca/sicilia/19452/trovato-cadavere-spiaggia-trapanese-forse-immigrato.htm?a=comment
34512,unknown,unknown - supposedly exhaustion related death,Del grande,2008-05-27T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"A man dies trying to get invested in the Greek island, at Larnaca (May 28, 2008)",Larnaca,34.916667,33.633333,"34.916667, 33.633333",1,"Event at Larnaca on May 27, 2008",,Turkish Daily News,http://www.turkishdailynews.com.tr/article.php?enewsid=105733
34513,unknown,unknown - supposedly exhaustion related death,Del grande,2008-05-25T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,3,"Intercepted a boat one mile from San Bartolome de Tirajana (Gran Canaria}. Aboard two deaths. A third person hospitalized in serious condition at the Hospital Insular, dies soon after (May 26, 2008)",tirajana,27.759555,-15.57903,"27.759555, -15.57903",5,"Event at Tirajana on May 25, 2008",Western African route,Abc,http://www.abc.es/20080526/nacional-sucesos/tres-muertos-cuando-intentaban_200805260259.html
34516,asphyxiated,drowning or exhaustion related death,United,2008-05-25T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,2,"stowaways, died of suffocation while traveling by boat from the port of Sfax (TN) (May 25, 2008). From Del Grande's data set (translated): Hidden on the Russian cargo ship Pascal, sailed 12 days ago with a cargo of phosphates from Sfax, Tunisia, two men are found dead in the port of Ayr (May 28, 2008)",sfax,34.745159,10.7613,"34.745159, 10.7613",239,"Event at Sfax on May 25, 2008",Central Mediteranean route,Sh/NOB/IRR,http://www.guardian.co.uk/uk/2008/may/27/scotland
34515,drowned,drowning or exhaustion related death,United,2008-05-25T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,5,"reportedly drowned, boat capsized in rough seas 85 miles south east of Malta, 13 survivors  (May 25, 2008)",malta,35.937496,14.375416,"35.937496, 14.375416",655,"Event at Malta on May 25, 2008",Central Mediteranean route,NOB/TimesM,
34514,unknown,unknown - supposedly exhaustion related death,Del grande,2008-05-25T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,5,"The Italian fishing boat rescued at sea Pegasus 13 castaways. 5 others are reported missing (May 26, 2008)",malta,35.937496,14.375416,"35.937496, 14.375416",655,"Event at Malta on May 25, 2008",Central Mediteranean route,Times of Malta,http://www.timesofmalta.com/articles/view/20080526/local/13-migrants-rescued-five-believed-drowned/
34517,died from dehydration,drowning or exhaustion related death,United,2008-05-24T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,3,"died of dehydration 1mile off Grand Canaria (E), 2 died in boat, 1 in hospital (E), 65 survived  (May 24, 2008)",canaria,28.291564,-16.62913,"28.291564, -16.62913",1120,"Event at Canaria on May 24, 2008",Western African route,NOB/FE/ABC,
34518,unknown,unknown - supposedly exhaustion related death,Del grande,2008-05-23T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,28,"After three days of searching, it is dispersed 70 miles south of Malta boat with 28 migrants on board (May 24, 2008)",malta,35.937496,14.375416,"35.937496, 14.375416",655,"Event at Malta on May 23, 2008",Central Mediteranean route,Times of Malta,http://www.timesofmalta.com/articles/view/20080523/local/more-illegal-immigrants-arrive/
34519,lack of medical care,drowning or exhaustion related death,United,2008-05-23T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"no medical care, died of pneumonia not cured by doctors of detention centre Brunelleschi (I) (May 23, 2008)",Brunelleschi,43.77268,11.253604,"43.77268, 11.253604",1,"Event at Brunelleschi on May 23, 2008",,LR/MP,
34520,drowned,drowning or exhaustion related death,United,2008-05-22T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"drowned, body found by Italian Coast Guard off Pozzalo near Ragusa, Sicily (I) (May 22, 2008). From Del Grande's data set (translated): Retrieved a body off the coast of Pozzallo, Ragusa in (May 23, 2008)",ragusa,36.926927,14.725513,"36.926927, 14.725513",58,"Event at Ragusa on May 22, 2008",Central Mediteranean route,NOB/AdnK,http://www.adnkronos.com/IGN/Regioni/Sicilia.php?id=1.0.2189795361
34522,drowned,drowning or exhaustion related death,United,2008-05-21T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"reportedly drowned, body found in the sea 50 miles from Malta (May 21, 2008). From Del Grande's data set (translated): Recovered six bodies in recent days at 50 miles from the island (May 22, 2008)",malta,35.937496,14.375416,"35.937496, 14.375416",655,"Event at Malta on May 21, 2008",Central Mediteranean route,TimesM/NOB,http://www.timesofmalta.com/articles/view/20080522/local/sixth-corpse-found-at-sea/
34521,drowned,drowning or exhaustion related death,United,2008-05-21T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,2,"drowned whilst attempting to reach Spain, bodies found in sea close to Cherchell (DZ)  (May 21, 2008). From Del Grande's data set (translated): Fished along the coasts of Cherchell, between Algiers and Oran, the bodies of two migrants who are victims of a shipwreck (May 22, 2008)",Cherchell,36.60709,2.196783,"36.60709, 2.196783",2,"Event at Cherchell on May 21, 2008",Western Mediteranean route,NOB/FE,http://www.lequotidien-oran.com/index.php?news=5104022
34524,drowned,drowning or exhaustion related death,United,2008-05-19T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,12,"reportedly drowned, 2 found, 10 missing off Malta s sea  (May 19, 2008)",malta,35.937496,14.375416,"35.937496, 14.375416",655,"Event at Malta on May 19, 2008",Central Mediteranean route,NOB/TimesM,
34523,unknown,unknown - supposedly exhaustion related death,Del grande,2008-05-19T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,2,"Recovered a dead body in the waters of Samos (May 20, 2008)",samos,37.743215,26.820351,"37.743215, 26.820351",218,"Event at Samos on May 19, 2008",Eastern Mediteranean route Sea,Yen,http://www.yen.gr/wide/yen.chtm?prnbr=32714
34525,drowned,drowning or exhaustion related death,Del grande,2008-05-15T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,21,"Missing the 21 passengers of a boat at sea by the Coast Guard rejected Samos. According to the only passenger managed to reach the island by swimming, they would all be drowned after the sinking of the boat, pierced in several places by the Greek authorities (May 16, 2008)",samos,37.743215,26.820351,"37.743215, 26.820351",218,"Event at Samos on May 15, 2008",Eastern Mediteranean route Sea,Reuters,http://fortresseurope.blogspot.com/2006/01/grecia-guardia-costiera-affonda-zodiac.html
34526,drowned,drowning or exhaustion related death,United,2008-05-10T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"found by boat in advanced state of decomposition in Mediterranean Sea, off Birzebbugia (M) (May 10, 2008)",Birzebbugia,35.825556,14.528056,"35.825556, 14.528056",1,"Event at Birzebbugia on May 10, 2008",Central Mediteranean route,TimesM,
34529,unknown,unknown - supposedly exhaustion related death,United,2008-05-09T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"stowaway, body found by Civil Guard in Melilla, was hiding in car compartment to enter Spain (May 9, 2008)",melilla,35.292278,-2.938097,"35.292278, -2.938097",79,"Event at Melilla on May 09, 2008",Western Mediteranean route,NOB/Verdad,
34527,unknown,unknown - supposedly exhaustion related death,Del grande,2008-05-09T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,50,"Shipwreck off the coast of Teboulba, 3 bodies recovered and 47 missing at sea. The 16 survivors hospitalized in Monastir (May 10, 2008)",monastir,35.77718,10.8261,"35.77718, 10.8261",53,"Event at Monastir on May 09, 2008",Central Mediteranean route,Reuters,http://africa.reuters.com/country/TN/news/usnAMA244250.html
34530,car accident,"violent accidental death (transport, blown in minefield...)",United,2008-05-09T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"stowaway, struck by car after falling off the truck he was hidden under on highway A381 (E) (May 9, 2008)",Marocco to Spain,35.964373,-5.196533,"35.964373, -5.196533",63,"Event at Marocco To Spain on May 09, 2008",Western Mediteranean route,NOB/EP,
34531,asphyxiated,drowning or exhaustion related death,United,2008-05-09T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,18,"stowaways, died from asphyxiation in a track from Istanbul (TR) to GR after traffic accident (May 9, 2008)",istanbul,41.00527,28.97696,"41.00527, 28.97696",47,"Event at Istanbul on May 09, 2008",Eastern Mediteranean route Land,Picum/Nt7/TodZam/NOB,
34528,drowned,drowning or exhaustion related death,United,2008-05-09T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,4,"drowned, bodies found between Evros River delta and Alexandroupolis port (GR) (May 9, 2008)",evros,41.244376,26.135943,"41.244376, 26.135943",188,"Event at Evros on May 09, 2008",Eastern Mediteranean route Land,NOB/KI,
34532,drowned,drowning or exhaustion related death,United,2008-05-08T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"reportedly drowned on way to I, body found at Oued Saboun beach near Skikda (DZ) (May 8, 2008)",saboun,30.78004,30.991133,"30.78004, 30.991133",2,"Event at Saboun on May 08, 2008",Central Mediteranean route,NOB/FE,
34534,unknown,unknown - supposedly exhaustion related death,United,2008-05-07T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"manner of death unknown, body found on the coast of Aguadu of Melilla (E) in North Africa (May 7, 2008)",melilla,35.292278,-2.938097,"35.292278, -2.938097",79,"Event at Melilla on May 07, 2008",Western Mediteranean route,NOB/DiarioSur,
34533,unknown,unknown - supposedly exhaustion related death,Del grande,2008-05-07T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,3,"Recovered three bodies near the beach in Delimara, victims of a shipwreck (May 8, 2008)",delimara,35.834673,14.552498,"35.834673, 14.552498",6,"Event at Delimara on May 07, 2008",Central Mediteranean route,Times of Malta,http://www.timesofmalta.com/articles/view/20080508/local/third-corpse-found-in-the-sea/
34535,suicide - hanged,suicide,United,2008-05-07T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"suicide, found hanged in GB after being asked to leave his home provided by the NASS (May 7, 2008)",Great Britain,55.378051,-3.435973,"55.378051, -3.435973",23,"Event at Great Britain on May 07, 2008",,IRR,
34539,drowned,drowning or exhaustion related death,United,2008-05-05T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,13,"drowned after boat sank at 50 km off Libyan coasts, due to stormy waters (May 5, 2008)",libyan,26.3351,17.228331,"26.3351, 17.228331",1371,"Event at Libyan on May 05, 2008",Central Mediteranean route,CDS/SP/NOB,
34536,starved,drowning or exhaustion related death,Del grande,2008-05-05T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,7,"7 of the 42 survivors of the shipwreck of Hoceima on April 28, died of starvation once deported and abandoned to the Algerian border in the province of Oujda (May 6, 2008)",hoceima,35.249299,-3.937112,"35.249299, -3.937112",149,"Event at Hoceima on May 05, 2008",Western Mediteranean route,Fortress Europe,http://fortresseurope.blogspot.com/2006/01/aprile-2008.html
34537,drowned,drowning or exhaustion related death,Del grande,2008-05-05T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"Found in the waters of Cap Carbon, near Arzew, the corpse of a drowned man on the route to Spain (May 6, 2008)",arzew,35.85,-0.316667,"35.85, -0.316667",81,"Event at Arzew on May 05, 2008",Western Mediteranean route,El Watan,http://elharraga.wordpress.com/2008/05/06/un-cadavre-rejete-par-la-mer-a-cap-carbon/
34538,drowned,drowning or exhaustion related death,United,2008-05-05T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"drowned, jumped into the Rhine while fleeing police close to Basel (CH) (May 5, 2008)","basel, switzerland",47.557421,7.592573,"47.557421, 7.592573",1,"Event at Basel, Switzerland on May 05, 2008",,SSF,
34540,car accident,"violent accidental death (transport, blown in minefield...)",United,2008-05-04T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"stowaway, car he was transported in crashed after being chased by police in Xanthi (GR) (May 4, 2008)","Xanthi, greece",41.130036,24.88649,"41.130036, 24.88649",1,"Event at Xanthi, Greece on May 04, 2008",Eastern Mediteranean route Land,NOB/KI,
34541,unknown,unknown - supposedly exhaustion related death,United,2008-05-02T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,2,"unknown death s reasons, found 2 bodies on boat carrying 59 travellers in Canary Isl. (E) (May 2, 2008)",canary,28.291564,-16.62913,"28.291564, -16.62913",1120,"Event at Canary on May 02, 2008",Western African route,TySp/NOB/MPG/JA/NOB,
34542,car accident,"violent accidental death (transport, blown in minefield...)",United,2008-05-01T00:00:00Z,2Q2008,2008 -- 5,2008,0,0,1,"crushed in Ceuta (E) by the wheels of a tour bus under he was hiding to cross Gibraltar (May 1, 2008)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",213,"Event at Ceuta on May 01, 2008",Western Mediteranean route,MNS/NOB,
34543,suicide,suicide,Del grande,2008-04-30T00:00:00Z,2Q2008,2008 -- 4,2008,0,0,1,"Ebenizer Folefack Sontsa, Cameroon, 32 years old, took his own life in the detention center for immigrants in Merksplas. He was in solitary confinement after an attempt to return on a scheduled flight, failed to protests from some passengers (May 1, 2008)",merksplas,51.35819,4.863547,"51.35819, 4.863547",4,"Event at Merksplas on Apr 30, 2008",,Le Soir,http://www.lesoir.be/actualite/belgique/suicide-au-centre-ferme-de-2008-05-01-595575.shtml
34545,drowned,drowning or exhaustion related death,United,2008-04-27T00:00:00Z,2Q2008,2008 -- 4,2008,0,0,36,"drowned, Morocco s border guards broke with a knife the rubber dinghy (MA) (Apr 27, 2008)",morocco,31.791702,-7.09262,"31.791702, -7.09262",77,"Event at Morocco on Apr 27, 2008",Western Mediteranean route,FE/Welt/ST/MNS/Picum/Reu/APDHA/MB/BBC/NOB,
34544,drowned,drowning or exhaustion related death,Del grande,2008-04-27T00:00:00Z,2Q2008,2008 -- 4,2008,0,0,4,"During expulsion in Iraq, the Turkish police throws 18 men in a river along the border to Habur, in the province of Sirnak. 4 die in drowning (Apr 28, 2008)",iraq,33.223191,43.679291,"33.223191, 43.679291",13,"Event at Iraq on Apr 27, 2008",,Turkish Daily News,http://www.turkishdailynews.com.tr/article.php?enewsid=102961
34546,drowned,drowning or exhaustion related death,Del grande,2008-04-24T00:00:00Z,2Q2008,2008 -- 4,2008,0,0,1,"Two men into the sea during the rescue operation of a ship, 80 miles south of Lampedusa. Despite the relief, one of the two drowned (Apr 25, 2008)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",3843,"Event at Lampedusa on Apr 24, 2008",Central Mediteranean route,Ansa,http://www.stranieriinitalia.it/ansa-immigrazione500_soccorsi_in_24_ore_in_siciliaun_morto_3561.html
34547,unknown,unknown - supposedly exhaustion related death,Del grande,2008-04-23T00:00:00Z,2Q2008,2008 -- 4,2008,0,0,23,"Shipwreck off Chebba on routes to Lampedusa. 3 dead and 20 missing (Apr 24, 2008)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",3843,"Event at Lampedusa on Apr 23, 2008",Central Mediteranean route,Reuters,http://africa.reuters.com/country/TN/news/usnAMA440733.html
34548,drowned,drowning or exhaustion related death,United,2008-04-22T00:00:00Z,2Q2008,2008 -- 4,2008,0,0,4,"drowned, forced by Turkish police to swim across the river that separates TR and Iraq (Apr 22, 2008)",iraq,33.223191,43.679291,"33.223191, 43.679291",13,"Event at Iraq on Apr 22, 2008",,Unhcr,
34554,unknown,unknown - supposedly exhaustion related death,United,2008-04-21T00:00:00Z,2Q2008,2008 -- 4,2008,0,0,2,"missing, unknown reason of death while trying to reach Europe from Aouled al-Mabrouk (TN) (Apr 21, 2008)",mabrouk,30.446042,31.181203,"30.446042, 31.181203",26,"Event at Mabrouk on Apr 21, 2008",Central Mediteranean route,Ftcr/HNS/CPD,
34553,drowned,drowning or exhaustion related death,United,2008-04-21T00:00:00Z,2Q2008,2008 -- 4,2008,0,0,4,"missing, trying to cross the sea to Europe from Aouled al-Mabrouk (TN) (Apr 21, 2008)",mabrouk,30.446042,31.181203,"30.446042, 31.181203",26,"Event at Mabrouk on Apr 21, 2008",Central Mediteranean route,Ftcr/CPD/HNS,
34551,drowned,drowning or exhaustion related death,United,2008-04-21T00:00:00Z,2Q2008,2008 -- 4,2008,0,0,1,"drowned, body washed ashore; trying to reach Europe from Aouled al-Mabrouk (TN)  (Apr 21, 2008)",mabrouk,30.446042,31.181203,"30.446042, 31.181203",26,"Event at Mabrouk on Apr 21, 2008",Central Mediteranean route,Ftcr/CPD/HNS,
34550,drowned,drowning or exhaustion related death,United,2008-04-21T00:00:00Z,2Q2008,2008 -- 4,2008,0,0,2,"drowned, body washed ashore, found in Aouled al-Mabrouk (TN)  (Apr 21, 2008)",mabrouk,30.446042,31.181203,"30.446042, 31.181203",26,"Event at Mabrouk on Apr 21, 2008",Central Mediteranean route,Ftcr/CPD/HNS,
34549,unknown,unknown - supposedly exhaustion related death,United,2008-04-21T00:00:00Z,2Q2008,2008 -- 4,2008,0,0,17,"14 missing, 3 bodies found on board a boat from Aouled al-Mabrouk (TN) (Apr 21, 2008)",mabrouk,30.446042,31.181203,"30.446042, 31.181203",26,"Event at Mabrouk on Apr 21, 2008",Central Mediteranean route,Ftcr/CPD/HNS/NOB,
34552,unknown,unknown - supposedly exhaustion related death,United,2008-04-21T00:00:00Z,2Q2008,2008 -- 4,2008,0,0,1,"found in wood near Zella-Mehlis det. centre (D) after staff gave him false deportation threat (Apr 21, 2008)","Zella-Mehlis, germany",50.658799,10.664964,"50.658799, 10.664964",1,"Event at Zella-Mehlis, Germany on Apr 21, 2008",,jW/Karawane,
34555,unknown,unknown - supposedly exhaustion related death,United,2008-04-20T00:00:00Z,2Q2008,2008 -- 4,2008,0,0,2,"stowaways, found on British container ship from Ivory Coast to Vigo port (E), 11 survivors  (Apr 20, 2008). From Del Grande's data set (translated): Found on board the cargo ship ""Rosa Delmas"" landed in the port of Fuerteventura, in the Canary Islands, the bodies of two men who were hidden in the hold along with other 11 people, 4 of which were hospitalized in serious health conditions (Apr 21, 2008)",fuerteventura,28.358744,-14.053676,"28.358744, -14.053676",488,"Event at Fuerteventura on Apr 20, 2008",Western African route,NOB/EarthT,http://www.laprovincia.es/secciones/noticia.jsp?pRef=2008042200_14_145635__Fuerteventura-polizones-entraron-timon-para-esconderse-barco
34556,shot by the police,authorities related death,Del grande,2008-04-16T00:00:00Z,2Q2008,2008 -- 4,2008,0,0,1,"Eritrean refugee killed by Border Police gunfire along the border with Israel (Apr 17, 2008)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",129,"Event at Sinai, Egypt on Apr 16, 2008",,Reuters,http://africa.reuters.com/country/ER/news/usnL20735292.html
34557,unknown,unknown - supposedly exhaustion related death,United,2008-04-14T00:00:00Z,2Q2008,2008 -- 4,2008,0,0,1,"depression, not given work permit, developed alcoholism whilst waiting for asylum decision (Apr 14, 2008)",Germany,51.165691,10.451526,"51.165691, 10.451526",8,"Event at Germany on Apr 14, 2008",,ARI,
